id_mutation,date_mutation,numero_disposition,nature_mutation,valeur_fonciere,adresse_numero,adresse_suffixe,adresse_nom_voie,adresse_code_voie,code_postal,code_commune,nom_commune,code_departement,ancien_code_commune,ancien_nom_commune,id_parcelle,ancien_id_parcelle,numero_volume,lot1_numero,lot1_surface_carrez,lot2_numero,lot2_surface_carrez,lot3_numero,lot3_surface_carrez,lot4_numero,lot4_surface_carrez,lot5_numero,lot5_surface_carrez,nombre_lots,code_type_local,type_local,surface_reelle_bati,nombre_pieces_principales,code_nature_culture,nature_culture,code_nature_culture_speciale,nature_culture_speciale,surface_terrain,longitude,latitude,section_prefixe
2024-197953,2024-05-23,1,Vente,118500.00,29,,"AV H LAUDIER",2840,18000,18033,Bourges,18,,,18033000HS0030,,,17,,45,,,,,,,,2,3,Dépendance,,0,,,,,,2.3936110,47.0931360,000HS
2024-197953,2024-05-23,1,Vente,118500.00,29,,"AV H LAUDIER",2840,18000,18033,Bourges,18,,,18033000HS0030,,,17,,45,,,,,,,,2,2,Appartement,73.00,4,,,,,,2.3936110,47.0931360,000HS
2024-197955,2024-05-22,1,Vente,70000.00,10,,"RUE ARTHUR RIMBAUD",0195,18000,18033,Bourges,18,,,18033000BL0382,,,2,,96,,,,,,,,2,3,Dépendance,,0,,,,,,2.4118200,47.0963880,000BL
2024-197955,2024-05-22,1,Vente,70000.00,10,,"RUE ARTHUR RIMBAUD",0195,18000,18033,Bourges,18,,,18033000BL0382,,,2,,96,,,,,,,,2,3,Dépendance,,0,,,,,,2.4118200,47.0963880,000BL
2024-197955,2024-05-22,1,Vente,70000.00,10,,"RUE ARTHUR RIMBAUD",0195,18000,18033,Bourges,18,,,18033000BL0382,,,2,,96,,,,,,,,2,2,Appartement,47.00,2,,,,,,2.4118200,47.0963880,000BL
2024-197969,2024-05-27,1,Vente,164500.00,55,,"AV DE ST-AMAND",5280,18000,18033,Bourges,18,,,18033000DX0335,,,,,,,,,,,,,0,3,Dépendance,,0,J,jardins,,,1016.00,2.3882600,47.0682490,000DX
2024-197969,2024-05-27,1,Vente,164500.00,55,,"AV DE ST-AMAND",5280,18000,18033,Bourges,18,,,18033000DX0335,,,,,,,,,,,,,0,3,Dépendance,,0,J,jardins,,,1016.00,2.3882600,47.0682490,000DX
2024-197969,2024-05-27,1,Vente,164500.00,55,,"AV DE ST-AMAND",5280,18000,18033,Bourges,18,,,18033000DX0335,,,,,,,,,,,,,0,1,Maison,101.00,6,S,sols,,,413.00,2.3882600,47.0682490,000DX
2024-197969,2024-05-27,1,Vente,164500.00,55,,"AV DE ST-AMAND",5280,18000,18033,Bourges,18,,,18033000DX0335,,,,,,,,,,,,,0,3,Dépendance,,0,S,sols,,,413.00,2.3882600,47.0682490,000DX
2024-197969,2024-05-27,1,Vente,164500.00,55,,"AV DE ST-AMAND",5280,18000,18033,Bourges,18,,,18033000DX0335,,,,,,,,,,,,,0,3,Dépendance,,0,S,sols,,,413.00,2.3882600,47.0682490,000DX
2024-197969,2024-05-27,1,Vente,164500.00,55,,"AV DE ST-AMAND",5280,18000,18033,Bourges,18,,,18033000DX0335,,,,,,,,,,,,,0,1,Maison,101.00,6,J,jardins,,,1016.00,2.3882600,47.0682490,000DX
2024-197970,2024-05-30,1,Vente,309000.00,50,,"CHE TORTU",5616,18000,18033,Bourges,18,,,18033000HI0412,,,,,,,,,,,,,0,1,Maison,168.00,7,S,sols,,,898.00,2.3659610,47.0774070,000HI
2024-197970,2024-05-30,1,Vente,309000.00,50,,"CHE TORTU",5616,18000,18033,Bourges,18,,,18033000HI0412,,,,,,,,,,,,,0,3,Dépendance,,0,S,sols,,,898.00,2.3659610,47.0774070,000HI
2024-197980,2024-05-30,1,Vente,80000.00,3,,"RUE PIERRE ANDRE DE SUFFREN",4653,18000,18033,Bourges,18,,,18033000BZ0143,,,,,,,,,,,,,0,1,Maison,79.00,4,S,sols,,,579.00,2.4328190,47.0833380,000BZ
2024-197981,2024-05-24,1,Vente,350000.00,22,,"AV DES FRERES VOISIN",2250,18000,18033,Bourges,18,,,18033000EI0035,,,,,,,,,,,,,0,3,Dépendance,,0,VE,vergers,,,815.00,2.3788970,47.0702570,000EI
2024-197981,2024-05-24,1,Vente,350000.00,22,,"AV DES FRERES VOISIN",2250,18000,18033,Bourges,18,,,18033000EI0035,,,,,,,,,,,,,0,3,Dépendance,,0,S,sols,,,383.00,2.3788970,47.0702570,000EI
2024-197981,2024-05-24,1,Vente,350000.00,22,,"AV DES FRERES VOISIN",2250,18000,18033,Bourges,18,,,18033000EI0035,,,,,,,,,,,,,0,1,Maison,154.00,7,S,sols,,,383.00,2.3788970,47.0702570,000EI
2024-197981,2024-05-24,1,Vente,350000.00,22,,"AV DES FRERES VOISIN",2250,18000,18033,Bourges,18,,,18033000EI0035,,,,,,,,,,,,,0,1,Maison,154.00,7,VE,vergers,,,815.00,2.3788970,47.0702570,000EI
